Table;Table Name;Administrative Unit;Administrative Unit Name;Administrative Unit - RegionId;Scale;2013;2014;2015;2016;2017;2018;2019;2020
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C40;Bungoma;KE-800-BU;units;128112;137418;135686;137119;146373;153325;157087;156999
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C41;Busia;KE-800-BS;units;51755;53215;55030;57305;58501;61840;68915;71153
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C42;Siaya;KE-600-SI;units;62265;65638;69541;66852;71616;77045;81919;82471
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C43;Kisumu;KE-600-KI;units;156704;161522;169982;173977;184041;196103;207326;210540
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C44;Homa-Bay;KE-600-HB;units;78299;81646;82188;82970;86344;92641;93771;93235
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C45;Migori;KE-600-MI;units;75738;81321;80914;77883;88172;92405;97172;96457
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C46;Kisii;KE-600-KK;units;122892;128736;133230;140651;147121;147649;149431;150454
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C47;Nyamira;KE-600-NN;units;68749;67982;70945;75393;76996;85852;86544;89311
T2;Gross County Product (GCP) 2013-2020, in Constant Prices KSh million;C48;Nairobi;KE-110-NA;units;1612572;1707029;1817432;1912001;2020743;2137131;2268114;2267447
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C1;Total;KE;units;4831317;5482980;6289246;6926656;7754323;8531502;9389865;9892187
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C2;Mombasa;KE-300-MO;units;268326;296857;329262;360583;401393;435527;469584;467395
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C3;Kwale;KE-300-KW;units;54196;63269;69230;76614;90621;100084;108658;119666
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C4;Kilifi;KE-300-KI;units;108937;123451;140018;147927;162766;177795;199179;204172
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C5;Tana River;KE-300-TR;units;15525;15557;21051;20381;21095;23567;27627;29866
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C6;Lamu;KE-300-LA;units;15858;17692;20555;21762;25262;29032;32338;32857
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C7;Taita Taveta;KE-300-TT;units;30583;36029;40677;44757;49589;54640;60879;63564
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C8;Garissa;KE-500-GA;units;27974;31185;35064;42043;44901;51491;54939;59910
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C9;Wajir;KE-500-WA;units;24585;24940;33043;35897;39367;42654;47473;49816
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C10;Mandera;KE-500-MA;units;25568;27144;31990;34585;37159;44123;51056;58925
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C11;Marsabit;KE-400-MB;units;25515;27189;33502;36260;36770;43207;56711;61434
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C12;Isiolo;KE-400-IS;units;12909;13640;16623;17834;19441;22668;25117;26558
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C13;Meru;KE-400-MU;units;147102;171460;199076;219479;245618;266532;316093;345319
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C14;Tharaka-Nithi;KE-400-TN;units;28567;32011;36589;40663;46834;52405;56281;61957
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C15;Embu;KE-400-EM;units;81946;87820;94830;110119;119393;134488;138867;153927
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C16;Kitui;KE-400-KI;units;60075;72847;82809;81962;93698;108868;127567;136380
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C17;Machakos;KE-400-MC;units;187900;207763;233910;241041;255999;281256;297350;313559
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C18;Makueni;KE-400-MA;units;53770;61198;70965;76949;84440;97112;109383;111071
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C19;Nyandarua;KE-200-NY;units;49785;63090;83756;94845;116560;118231;140734;150062
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C20;Nyeri;KE-200-NE;units;97658;112940;132022;146215;160013;170042;193645;210393
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C21;Kirinyaga;KE-200-KR;units;65691;72392;82852;91586;107410;109636;123676;130263
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C22;Murang'a;KE-200-MU;units;98712;111428;128486;141455;155172;166679;180780;200682
